Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,genre
Tokyo Ghoul,東京喰種-トーキョーグール-,12,Manga,R - 17+ (violence & profanity),Summer 2014,TV,Studio Pierrot,7.80,1425513 ,Ranked #845,Popularity #7,2178528,https://myanimelist.net/anime/22319/Tokyo_Ghoul,Horror
Parasyte -the maxim-,寄生獣 セイの格率,24,Manga,R - 17+ (violence & profanity),Fall 2014,TV,Madhouse,8.37,857392 ,Ranked #174,Popularity #41,1419328,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu,Horror
Tokyo Ghoul √A,東京喰種√A,12,Manga,R - 17+ (violence & profanity),Winter 2015,TV,Studio Pierrot,7.04,932479 ,Ranked #3553,Popularity #45,1400981,https://myanimelist.net/anime/27899/Tokyo_Ghoul_√A,Horror
The Promised Neverland,約束のネバーランド,12,Manga,R - 17+ (violence & profanity),Winter 2019,TV,CloverWorks,8.60,882775 ,Ranked #68,Popularity #46,1404269,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland,Horror
Another,アナザー,12,Light novel,R - 17+ (violence & profanity),Winter 2012,TV,P.A. Works,7.52,795110 ,Ranked #1545,Popularity #48,1343863,https://myanimelist.net/anime/11111/Another,Horror
Elfen Lied,エルフェンリート,13,Manga,R+ - Mild Nudity,Summer 2004,TV,Arms,7.54,738223 ,Ranked #1480,Popularity #55,1272374,https://myanimelist.net/anime/226/Elfen_Lied,Horror
High School of the Dead,学園黙示録 HIGHSCHOOL OF THE DEAD,12,Manga,R+ - Mild Nudity,Summer 2010,TV,Madhouse,7.11,763528 ,Ranked #3241,Popularity #59,1218234,https://myanimelist.net/anime/8074/Highschool_of_the_Dead,Horror
Deadman Wonderland,デッドマン・ワンダーランド,12,Manga,R - 17+ (violence & profanity),Spring 2011,TV,Manglobe,7.20,571874 ,Ranked #2840,Popularity #89,1026420,https://myanimelist.net/anime/6880/Deadman_Wonderland,Horror
Tokyo Ghoul:re,東京喰種トーキョーグール：re,12,Manga,R - 17+ (violence & profanity),Spring 2018,TV,"Studio Pierrot,             Pierrot Plus",6.44,468287 ,Ranked #6344,Popularity #122,841343,https://myanimelist.net/anime/36511/Tokyo_Ghoul_re,Horror
Devilman: Crybaby,DEVILMAN crybaby,10,Manga,R+ - Mild Nudity,-,ONA,Science SARU,7.81,471528 ,Ranked #825,Popularity #137,792452,https://myanimelist.net/anime/35120/Devilman__Crybaby,Horror
Danganronpa: The Animation,ダンガンロンパ 希望の学園と絶望の高校生 THE ANIMATION,13,Game,R - 17+ (violence & profanity),Summer 2013,TV,Lerche,7.25,436333 ,Ranked #2597,Popularity #143,762742,https://myanimelist.net/anime/16592/Danganronpa__Kibou_no_Gakuen_to_Zetsubou_no_Koukousei_The_Animation,Horror
Hellsing Ultimate,HELLSING OVA,10,Manga,R - 17+ (violence & profanity),-,OVA,"Madhouse,             Satelight,             Graphinica",8.38,371981 ,Ranked #169,Popularity #151,735300,https://myanimelist.net/anime/777/Hellsing_Ultimate,Horror
Monster,モンスター,74,Manga,R+ - Mild Nudity,Spring 2004,TV,Madhouse,8.79,226688 ,Ranked #29,Popularity #158,712358,https://myanimelist.net/anime/19/Monster,Horror
When They Cry,ひぐらしのなく頃に,26,Visual novel,R - 17+ (violence & profanity),Spring 2006,TV,Studio Deen,7.93,324876 ,Ranked #638,Popularity #171,680907,https://myanimelist.net/anime/934/Higurashi_no_Naku_Koro_ni,Horror
From the New World,新世界より,25,Novel,R - 17+ (violence & profanity),Fall 2012,TV,A-1 Pictures,8.33,231876 ,Ranked #208,Popularity #184,659098,https://myanimelist.net/anime/13125/Shinsekai_yori,Horror
Kabaneri of the Iron Fortress,甲鉄城のカバネリ,12,Original,R - 17+ (violence & profanity),Spring 2016,TV,Wit Studio,7.25,340457 ,Ranked #2616,Popularity #196,646980,https://myanimelist.net/anime/28623/Koutetsujou_no_Kabaneri,Horror
AKIRA,AKIRA（アキラ）,1,Manga,R+ - Mild Nudity,-,Movie,Tokyo Movie Shinsha,8.16,380269 ,Ranked #355,Popularity #201,632142,https://myanimelist.net/anime/47/Akira,Horror
Hellsing,Hellsing [ヘルシング],13,Manga,R - 17+ (violence & profanity),Fall 2001,TV,Gonzo,7.49,304323 ,Ranked #1637,Popularity #228,588910,https://myanimelist.net/anime/270/Hellsing,Horror
