Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,Genres,genre
Death Note,デスノート,37,Manga,R - 17+ (violence & profanity),Fall 2006,TV,Madhouse,8.63,2037932 ,Ranked #61,Popularity #1,2968435,https://myanimelist.net/anime/1535/Death_Note,Mystery;Police;Psychological;Supernatural;Thriller;Shounen,Madhouse
One Punch Man,ワンパンマン,12,Web manga,R - 17+ (violence & profanity),Fall 2015,TV,Madhouse,8.53,1666407 ,Ranked #93,Popularity #5,2427819,https://myanimelist.net/anime/30276/One_Punch_Man,Action;Sci-Fi;Comedy;Parody;Super Power;Supernatural,Madhouse
Hunter x Hunter,HUNTER×HUNTER（ハンター×ハンター）,148,Manga,PG-13 - Teens 13 or older,Fall 2011,TV,Madhouse,9.07,1164767 ,Ranked #6,Popularity #10,1999750,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,Action;Adventure;Fantasy;Shounen;Super Power,Madhouse
"No Game, No Life",ノーゲーム・ノーライフ,12,Light novel,PG-13 - Teens 13 or older,Spring 2014,TV,Madhouse,8.15,1233569 ,Ranked #370,Popularity #12,1934987,https://myanimelist.net/anime/19815/No_Game_No_Life,Game;Adventure;Comedy;Supernatural;Ecchi;Fantasy,Madhouse
Parasyte -the maxim-,寄生獣 セイの格率,24,Manga,R - 17+ (violence & profanity),Fall 2014,TV,Madhouse,8.37,865767 ,Ranked #174,Popularity #39,1420367,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu,Action;Sci-Fi;Horror;Psychological;Drama;Seinen,Madhouse
Death Parade,デス・パレード,12,Original,R - 17+ (violence & profanity),Winter 2015,TV,Madhouse,8.19,772008 ,Ranked #323,Popularity #47,1367331,https://myanimelist.net/anime/28223/Death_Parade,Game;Mystery;Psychological;Drama;Thriller,Madhouse
High School of the Dead,学園黙示録 HIGHSCHOOL OF THE DEAD,12,Manga,R+ - Mild Nudity,Summer 2010,TV,Madhouse,7.11,763528 ,Ranked #3243,Popularity #60,1218934,https://myanimelist.net/anime/8074/Highschool_of_the_Dead,Action;Horror;Supernatural;Ecchi;Shounen,Madhouse
Overlord,オーバーロード,13,Light novel,R - 17+ (violence & profanity),Summer 2015,TV,Madhouse,7.93,690006 ,Ranked #646,Popularity #70,1171304,https://myanimelist.net/anime/29803/Overlord,Action;Adventure;Fantasy;Game;Magic;Supernatural,Madhouse
The Irregular at Magic High School,魔法科高校の劣等生,26,Light novel,PG-13 - Teens 13 or older,Spring 2014,TV,Madhouse,7.48,453003 ,Ranked #1682,Popularity #118,842855,https://myanimelist.net/anime/20785/Mahouka_Koukou_no_Rettousei,Action;Magic;Romance;School;Sci-Fi;Supernatural,Madhouse
Black Lagoon,BLACK LAGOON,12,Manga,R - 17+ (violence & profanity),Spring 2006,TV,Madhouse,8.04,377143 ,Ranked #496,Popularity #139,776749,https://myanimelist.net/anime/889/Black_Lagoon,Action;Seinen,Madhouse
Hellsing Ultimate,HELLSING OVA,10,Manga,R - 17+ (violence & profanity),-,OVA,"Madhouse,             Satelight,             Graphinica",8.38,371981 ,Ranked #169,Popularity #152,735640,https://myanimelist.net/anime/777/Hellsing_Ultimate,Action;Military;Horror;Supernatural;Vampire;Seinen,Madhouse
Overlord II,オーバーロードⅡ,13,Light novel,R - 17+ (violence & profanity),Winter 2018,TV,Madhouse,7.76,441371 ,Ranked #909,Popularity #153,735694,https://myanimelist.net/anime/35073/Overlord_II,Action;Game;Adventure;Supernatural;Magic;Fantasy,Madhouse
