Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,genre
Maid Sama!,会長はメイド様!,26,Manga,PG-13 - Teens 13 or older,Spring 2010,TV,J.C.Staff,8.04,573377 ,Ranked #503,Popularity #93,992891,https://myanimelist.net/anime/7054/Kaichou_wa_Maid-sama,Shoujo
Ouran High School Host Club,桜蘭高校ホスト部,26,Manga,PG-13 - Teens 13 or older,Spring 2006,TV,Bones,8.18,545414 ,Ranked #333,Popularity #106,913807,https://myanimelist.net/anime/853/Ouran_Koukou_Host_Club,Shoujo
My Little Monster,となりの怪物くん,13,Manga,PG-13 - Teens 13 or older,Fall 2012,TV,Brain's Base,7.52,479078 ,Ranked #1537,Popularity #116,850269,https://myanimelist.net/anime/14227/Tonari_no_Kaibutsu-kun,Shoujo
Kimi ni Todoke: From Me to You,君に届け,25,Manga,PG-13 - Teens 13 or older,Fall 2009,TV,Production I.G,8.00,345228 ,Ranked #554,Popularity #157,718249,https://myanimelist.net/anime/6045/Kimi_ni_Todoke,Shoujo
Blue Spring Ride,アオハライド,12,Manga,PG-13 - Teens 13 or older,Summer 2014,TV,Production I.G,7.66,369519 ,Ranked #1144,Popularity #164,691697,https://myanimelist.net/anime/21995/Ao_Haru_Ride,Shoujo
Yona of the Dawn,暁のヨナ,24,Manga,PG-13 - Teens 13 or older,Fall 2014,TV,Studio Pierrot,8.04,314921 ,Ranked #495,Popularity #189,659961,https://myanimelist.net/anime/25013/Akatsuki_no_Yona,Shoujo
-,蛍火の杜へ,1,Manga,G - All Ages,-,Movie,Brain's Base,8.35,356768 ,Ranked #184,Popularity #198,640519,https://myanimelist.net/anime/10408/Hotarubi_no_Mori_e,Shoujo
Orange,orange（オレンジ）,13,Manga,PG-13 - Teens 13 or older,Summer 2016,TV,Telecom Animation Film,7.62,291086 ,Ranked #1231,Popularity #206,629952,https://myanimelist.net/anime/32729/Orange,Shoujo
-,BANANA FISH,24,Manga,R - 17+ (violence & profanity),Summer 2018,TV,MAPPA,8.50,218002 ,Ranked #109,Popularity #255,555192,https://myanimelist.net/anime/36649/Banana_Fish,Shoujo
"Say ""I Love You"".",好きっていいなよ。,13,Manga,PG-13 - Teens 13 or older,Fall 2012,TV,Zexcs,7.46,290440 ,Ranked #1723,Popularity #267,531100,https://myanimelist.net/anime/14289/Sukitte_Ii_na_yo,Shoujo
My Love Story!!,俺物語!!,24,Manga,PG-13 - Teens 13 or older,Spring 2015,TV,Madhouse,7.93,242100 ,Ranked #646,Popularity #272,529014,https://myanimelist.net/anime/28297/Ore_Monogatari,Shoujo
Vampire Knight,ヴァンパイア騎士〈ナイト〉,13,Manga,PG-13 - Teens 13 or older,Spring 2008,TV,Studio Deen,6.97,298864 ,Ranked #3842,Popularity #283,516473,https://myanimelist.net/anime/3457/Vampire_Knight,Shoujo
Snow White with the Red Hair,赤髪の白雪姫,12,Manga,PG-13 - Teens 13 or older,Summer 2015,TV,Bones,7.77,247685 ,Ranked #889,Popularity #284,518599,https://myanimelist.net/anime/30123/Akagami_no_Shirayuki-hime,Shoujo
-,フルーツバスケット 1st season,25,Manga,PG-13 - Teens 13 or older,Spring 2019,TV,TMS Entertainment,8.22,213665 ,Ranked #295,Popularity #299,512392,https://myanimelist.net/anime/38680/Fruits_Basket_1st_Season,Shoujo
Kamisama Kiss,神様はじめました,13,Manga,PG-13 - Teens 13 or older,Fall 2012,TV,TMS Entertainment,8.05,251035 ,Ranked #483,Popularity #307,493940,https://myanimelist.net/anime/14713/Kamisama_Hajimemashita,Shoujo
Lovely Complex,ラブ★コン,24,Manga,PG-13 - Teens 13 or older,Spring 2007,TV,Toei Animation,8.05,235020 ,Ranked #485,Popularity #320,474164,https://myanimelist.net/anime/2034/Lovely★Complex,Shoujo
Nana,NANA [ナナ],47,Manga,R+ - Mild Nudity,Spring 2006,TV,Madhouse,8.48,167792 ,Ranked #118,Popularity #326,463814,https://myanimelist.net/anime/877/Nana,Shoujo
Fruits Basket,フルーツバスケット,26,Manga,PG-13 - Teens 13 or older,Summer 2001,TV,Studio Deen,7.68,239263 ,Ranked #1099,Popularity #329,462595,https://myanimelist.net/anime/120/Fruits_Basket,Shoujo
Natsume's Book of Friends,夏目友人帳,13,Manga,PG-13 - Teens 13 or older,Summer 2008,TV,Brain's Base,8.33,151970 ,Ranked #204,Popularity #348,441398,https://myanimelist.net/anime/4081/Natsume_Yuujinchou,Shoujo
-,進撃の巨人 悔いなき選択,2,Visual novel,R - 17+ (violence & profanity),-,OVA,Wit Studio,8.41,220888 ,Ranked #148,Popularity #414,380235,https://myanimelist.net/anime/25781/Shingeki_no_Kyojin__Kuinaki_Sentaku,Shoujo
Wolf Girl & Black Prince,オオカミ少女と黒王子,12,Manga,PG-13 - Teens 13 or older,Fall 2014,TV,TYO Animations,7.12,203640 ,Ranked #3185,Popularity #413,376552,https://myanimelist.net/anime/23673/Ookami_Shoujo_to_Kuro_Ouji,Shoujo
Kimi ni Todoke: From Me To You 2,君に届け 2ND SEASON,12,Manga,PG-13 - Teens 13 or older,Winter 2011,TV,Production I.G,8.00,210510 ,Ranked #555,Popularity #427,364541,https://myanimelist.net/anime/9656/Kimi_ni_Todoke_2nd_Season,Shoujo
Cardcaptor Sakura,カードキャプターさくら,70,Manga,PG - Children,Spring 1998,TV,Madhouse,8.15,173988 ,Ranked #361,Popularity #431,360927,https://myanimelist.net/anime/232/Cardcaptor_Sakura,Shoujo
"Kiss Him, Not Me!",私がモテてどうすんだ,12,Manga,PG-13 - Teens 13 or older,Fall 2016,TV,Brain's Base,7.06,161154 ,Ranked #3458,Popularity #471,340771,https://myanimelist.net/anime/32899/Watashi_ga_Motete_Dousunda,Shoujo
Vampire Knight: Guilty,ヴァンパイア騎士〈ナイト〉Guilty,13,Manga,PG-13 - Teens 13 or older,Fall 2008,TV,Studio Deen,7.17,195761 ,Ranked #2984,Popularity #494,321631,https://myanimelist.net/anime/4752/Vampire_Knight__Guilty,Shoujo
Special A (S.A),スペシャル・エー,24,Manga,PG-13 - Teens 13 or older,Spring 2008,TV,"Gonzo,             AIC",7.54,158538 ,Ranked #1469,Popularity #499,318027,https://myanimelist.net/anime/3470/Special_A,Shoujo
Sailor Moon,美少女戦士セーラームーン,46,Manga,PG-13 - Teens 13 or older,Spring 1992,TV,Toei Animation,7.69,144393 ,Ranked #1066,Popularity #523,304766,https://myanimelist.net/anime/530/Bishoujo_Senshi_Sailor_Moon,Shoujo
My Next Life as a Villainess: All Routes Lead to Doom!,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…,12,Light novel,PG-13 - Teens 13 or older,Spring 2020,TV,SILVER LINK.,7.49,149282 ,Ranked #1648,Popularity #552,296382,https://myanimelist.net/anime/38555/Otome_Game_no_Hametsu_Flag_shika_Nai_Akuyaku_Reijou_ni_Tensei_shiteshimatta,Shoujo
-,フルーツバスケット 2nd season,25,Manga,PG-13 - Teens 13 or older,Spring 2020,TV,TMS Entertainment,8.58,118451 ,Ranked #77,Popularity #563,292531,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season,Shoujo
Kamisama Kiss Season 2,神様はじめました◎,12,Manga,PG-13 - Teens 13 or older,Winter 2015,TV,TMS Entertainment,8.17,152347 ,Ranked #342,Popularity #571,285679,https://myanimelist.net/anime/25681/Kamisama_Hajimemashita◎,Shoujo
Snow White with the Red Hair 2,赤髪の白雪姫,12,Manga,PG-13 - Teens 13 or older,Winter 2016,TV,Bones,7.99,152149 ,Ranked #558,Popularity #580,281289,https://myanimelist.net/anime/31173/Akagami_no_Shirayuki-hime_2nd_Season,Shoujo
Diabolik Lovers,DIABOLIK LOVERS,12,Visual novel,R - 17+ (violence & profanity),Fall 2013,TV,Zexcs,5.26,150735 ,Ranked #10687,Popularity #583,278205,https://myanimelist.net/anime/17513/Diabolik_Lovers,Shoujo
Whisper of the Heart,耳をすませば,1,Manga,G - All Ages,-,Movie,Studio Ghibli,8.23,143093 ,Ranked #285,Popularity #647,255439,https://myanimelist.net/anime/585/Mimi_wo_Sumaseba,Shoujo
The World is Still Beautiful,それでも世界は美しい,12,Manga,PG-13 - Teens 13 or older,Spring 2014,TV,Studio Pierrot,7.65,114848 ,Ranked #1177,Popularity #657,251135,https://myanimelist.net/anime/22101/Soredemo_Sekai_wa_Utsukushii,Shoujo
Real Girl,３Ｄ彼女　リアルガール,12,Manga,PG-13 - Teens 13 or older,Spring 2018,TV,Hoods Entertainment,6.81,115621 ,Ranked #4473,Popularity #669,249069,https://myanimelist.net/anime/36793/3D_Kanojo__Real_Girl,Shoujo
