Category: All categories

Month,Blackpink: (Worldwide),TWICE: (Worldwide),Red Velvet: (Worldwide)
2004-01,<1,1,<1
2004-02,<1,2,<1
2004-03,<1,2,0
2004-04,1,1,<1
2004-05,<1,1,<1
2004-06,<1,1,<1
2004-07,<1,1,<1
2004-08,<1,2,<1
2004-09,<1,2,<1
2004-10,<1,2,<1
2004-11,<1,1,<1
2004-12,<1,1,<1
2005-01,<1,2,<1
2005-02,<1,1,<1
2005-03,<1,1,<1
2005-04,<1,2,<1
2005-05,<1,2,<1
2005-06,<1,2,<1
2005-07,<1,1,<1
2005-08,<1,1,<1
2005-09,<1,1,<1
2005-10,<1,2,<1
2005-11,1,1,<1
2005-12,<1,2,<1
2006-01,1,1,<1
2006-02,<1,1,<1
2006-03,<1,1,<1
2006-04,<1,1,<1
2006-05,<1,1,<1
2006-06,<1,1,<1
2006-07,<1,1,<1
2006-08,<1,1,<1
2006-09,<1,1,<1
2006-10,<1,1,<1
2006-11,<1,2,<1
2006-12,<1,2,<1
2007-01,<1,1,<1
2007-02,<1,2,<1
2007-03,<1,1,<1
2007-04,<1,2,<1
2007-05,<1,1,<1
2007-06,<1,1,<1
2007-07,<1,1,<1
2007-08,<1,1,<1
2007-09,<1,1,<1
2007-10,<1,1,<1
2007-11,<1,2,<1
2007-12,<1,1,<1
2008-01,<1,1,<1
2008-02,<1,1,<1
2008-03,<1,1,<1
2008-04,<1,1,<1
2008-05,<1,1,<1
2008-06,<1,1,<1
2008-07,<1,1,<1
2008-08,<1,1,<1
2008-09,<1,1,<1
2008-10,<1,1,<1
2008-11,<1,1,<1
2008-12,<1,1,<1
2009-01,<1,1,<1
2009-02,<1,1,<1
2009-03,<1,1,<1
2009-04,<1,1,<1
2009-05,<1,1,<1
2009-06,<1,1,<1
2009-07,<1,1,<1
2009-08,<1,1,<1
2009-09,<1,1,<1
2009-10,<1,1,<1
2009-11,<1,1,<1
2009-12,<1,1,<1
2010-01,1,1,<1
2010-02,<1,1,<1
2010-03,<1,1,<1
2010-04,<1,1,<1
2010-05,<1,1,<1
2010-06,<1,1,<1
2010-07,<1,1,<1
2010-08,<1,1,<1
2010-09,<1,1,<1
2010-10,<1,1,1
2010-11,<1,1,1
2010-12,<1,1,<1
2011-01,<1,1,<1
2011-02,<1,1,1
2011-03,<1,1,1
2011-04,<1,1,<1
2011-05,<1,1,<1
2011-06,<1,1,1
2011-07,<1,1,1
2011-08,<1,1,1
2011-09,<1,1,1
2011-10,<1,1,1
2011-11,<1,2,1
2011-12,<1,1,1
2012-01,<1,1,1
2012-02,<1,1,1
2012-03,<1,1,1
2012-04,<1,2,1
2012-05,<1,1,1
2012-06,<1,2,1
2012-07,<1,1,1
2012-08,<1,1,1
2012-09,<1,2,1
2012-10,<1,1,1
2012-11,<1,1,1
2012-12,<1,1,1
2013-01,<1,1,1
2013-02,<1,1,1
2013-03,<1,1,1
2013-04,<1,1,1
2013-05,<1,1,1
2013-06,<1,1,1
2013-07,<1,1,1
2013-08,<1,1,1
2013-09,<1,1,1
2013-10,<1,1,1
2013-11,<1,1,1
2013-12,<1,1,1
2014-01,<1,1,1
2014-02,<1,1,1
2014-03,<1,1,1
2014-04,<1,1,1
2014-05,<1,1,1
2014-06,<1,2,1
2014-07,<1,1,2
2014-08,<1,2,14
2014-09,<1,2,5
2014-10,<1,2,6
2014-11,<1,2,4
2014-12,<1,2,3
2015-01,<1,2,3
2015-02,<1,1,3
2015-03,<1,2,11
2015-04,<1,2,8
2015-05,<1,2,5
2015-06,<1,2,6
2015-07,<1,3,5
2015-08,<1,2,4
2015-09,<1,2,11
2015-10,<1,9,7
2015-11,<1,11,6
2015-12,<1,10,6
2016-01,<1,12,6
2016-02,<1,10,5
2016-03,<1,9,9
2016-04,<1,15,7
2016-05,<1,20,6
2016-06,1,18,5
2016-07,4,15,5
2016-08,27,13,4
2016-09,12,11,10
2016-10,9,20,6
2016-11,25,23,5
2016-12,17,27,7
2017-01,17,22,7
2017-02,14,30,11
2017-03,13,27,7
2017-04,13,23,7
2017-05,13,33,6
2017-06,26,35,6
2017-07,31,41,12
2017-08,24,30,8
2017-09,19,23,6
2017-10,18,31,6
2017-11,17,37,12
2017-12,20,50,12
2018-01,22,43,11
2018-02,19,43,16
2018-03,19,34,12
2018-04,19,43,11
2018-05,19,40,9
2018-06,50,38,9
2018-07,47,40,10
2018-08,41,39,15
2018-09,34,34,9
2018-10,38,29,8
2018-11,54,36,8
2018-12,57,41,10
2019-01,57,32,9
2019-02,50,24,7
2019-03,39,29,6
2019-04,85,37,7
2019-05,59,34,6
2019-06,52,32,10
2019-07,47,36,7
2019-08,41,38,7
2019-09,35,32,6
2019-10,33,31,5
2019-11,30,27,5
2019-12,33,30,11
2020-01,31,29,12
2020-02,29,23,9
2020-03,29,24,8
2020-04,34,25,8
2020-05,39,31,8
2020-06,64,42,8
2020-07,66,32,11
2020-08,74,30,9
2020-09,70,26,7
2020-10,100,29,9
2020-11,68,33,7
2020-12,65,31,7
2021-01,65,27,8
2021-02,62,25,7
2021-03,56,25,7
2021-04,53,25,6
2021-05,52,26,6
2021-06,55,34,6
2021-07,58,33,6
