Category: All categories

Month,Blackpink: (China),TWICE: (China),Red Velvet: (China)
2004-01,0,0,0
2004-02,0,0,0
2004-03,0,0,0
2004-04,0,0,0
2004-05,0,0,0
2004-06,0,2,0
2004-07,0,0,0
2004-08,0,0,0
2004-09,0,0,0
2004-10,0,0,0
2004-11,0,2,0
2004-12,0,2,0
2005-01,0,0,0
2005-02,0,0,0
2005-03,0,0,0
2005-04,0,0,0
2005-05,0,1,0
2005-06,0,0,0
2005-07,0,0,0
2005-08,0,1,0
2005-09,0,0,0
2005-10,0,0,0
2005-11,0,3,0
2005-12,0,3,0
2006-01,0,1,0
2006-02,0,0,0
2006-03,0,1,0
2006-04,0,0,0
2006-05,0,0,0
2006-06,0,1,0
2006-07,0,1,0
2006-08,0,2,0
2006-09,0,2,0
2006-10,0,1,0
2006-11,0,2,0
2006-12,0,3,0
2007-01,0,0,0
2007-02,0,0,0
2007-03,0,1,0
2007-04,0,1,0
2007-05,0,1,0
2007-06,0,0,0
2007-07,0,1,0
2007-08,0,2,0
2007-09,0,0,0
2007-10,0,0,0
2007-11,0,1,0
2007-12,0,0,0
2008-01,0,1,0
2008-02,0,1,0
2008-03,0,<1,0
2008-04,0,<1,0
2008-05,0,<1,<1
2008-06,0,<1,0
2008-07,0,<1,0
2008-08,0,<1,0
2008-09,0,<1,0
2008-10,0,1,0
2008-11,0,0,0
2008-12,0,1,0
2009-01,0,<1,0
2009-02,0,<1,0
2009-03,0,1,0
2009-04,0,1,0
2009-05,0,1,0
2009-06,0,1,0
2009-07,0,1,0
2009-08,0,0,0
2009-09,<1,1,0
2009-10,0,<1,0
2009-11,0,<1,0
2009-12,0,<1,0
2010-01,0,1,0
2010-02,0,1,0
2010-03,0,<1,0
2010-04,0,<1,0
2010-05,0,1,0
2010-06,0,1,0
2010-07,0,1,0
2010-08,0,1,0
2010-09,0,1,<1
2010-10,0,1,0
2010-11,0,0,0
2010-12,0,2,0
2011-01,0,0,0
2011-02,<1,<1,0
2011-03,0,0,0
2011-04,0,<1,<1
2011-05,0,1,0
2011-06,0,1,0
2011-07,<1,<1,0
2011-08,0,0,0
2011-09,0,0,0
2011-10,0,1,0
2011-11,0,1,0
2011-12,0,0,0
2012-01,0,<1,0
2012-02,0,1,0
2012-03,0,1,<1
2012-04,0,0,0
2012-05,0,1,0
2012-06,0,0,0
2012-07,0,1,0
2012-08,<1,1,0
2012-09,1,1,0
2012-10,0,1,1
2012-11,0,1,0
2012-12,0,1,0
2013-01,0,2,0
2013-02,0,1,0
2013-03,0,3,0
2013-04,0,0,0
2013-05,0,5,0
2013-06,0,1,1
2013-07,0,1,0
2013-08,0,3,0
2013-09,0,1,0
2013-10,0,2,0
2013-11,0,1,1
2013-12,0,1,0
2014-01,0,2,1
2014-02,0,2,0
2014-03,0,0,0
2014-04,0,1,0
2014-05,0,2,0
2014-06,0,5,0
2014-07,0,0,7
2014-08,0,9,43
2014-09,0,0,0
2014-10,0,0,0
2014-11,0,11,0
2014-12,0,0,0
2015-01,0,0,0
2015-02,0,0,0
2015-03,0,18,0
2015-04,0,24,0
2015-05,0,0,0
2015-06,0,0,0
2015-07,0,0,0
2015-08,0,26,0
2015-09,0,48,0
2015-10,0,0,0
2015-11,0,96,0
2015-12,0,0,0
2016-01,0,28,0
2016-02,0,0,0
2016-03,0,25,13
2016-04,0,13,0
2016-05,0,0,0
2016-06,0,12,0
2016-07,0,21,0
2016-08,20,20,0
2016-09,9,9,0
2016-10,0,29,0
2016-11,19,19,0
2016-12,18,53,0
2017-01,22,34,11
2017-02,0,35,0
2017-03,9,70,0
2017-04,9,27,9
2017-05,0,24,0
2017-06,8,48,24
2017-07,24,31,0
2017-08,23,46,0
2017-09,8,15,0
2017-10,0,18,0
2017-11,16,47,24
2017-12,23,47,0
2018-01,15,81,15
2018-02,11,42,0
2018-03,26,46,13
2018-04,6,64,13
2018-05,0,40,23
2018-06,18,18,6
2018-07,28,63,0
2018-08,39,33,17
2018-09,5,27,16
2018-10,11,44,11
2018-11,36,51,0
2018-12,21,31,5
2019-01,35,12,18
2019-02,17,33,0
2019-03,28,22,6
2019-04,55,50,0
2019-05,44,38,5
2019-06,47,47,12
2019-07,39,62,11
2019-08,46,28,0
2019-09,18,36,6
2019-10,19,45,6
2019-11,19,31,0
2019-12,58,26,19
2020-01,8,61,23
2020-02,59,71,0
2020-03,18,9,0
2020-04,9,17,9
2020-05,34,68,17
2020-06,100,58,8
2020-07,64,32,6
2020-08,46,23,15
2020-09,39,47,0
2020-10,79,26,0
2020-11,70,16,0
2020-12,57,24,0
2021-01,51,8,8
2021-02,58,23,0
2021-03,61,18,0
2021-04,37,37,0
2021-05,27,39,0
2021-06,52,34,4
2021-07,13,94,13
