Category: All categories

Month,Blackpink: (Japan),TWICE: (Japan),Red Velvet: (Japan)
2004-01,0,0,0
2004-02,0,0,0
2004-03,0,<1,0
2004-04,0,<1,0
2004-05,0,0,0
2004-06,0,<1,0
2004-07,0,<1,0
2004-08,0,1,0
2004-09,0,0,0
2004-10,0,<1,0
2004-11,0,0,0
2004-12,0,<1,0
2005-01,0,<1,0
2005-02,0,0,0
2005-03,0,<1,0
2005-04,0,<1,0
2005-05,0,<1,0
2005-06,0,0,0
2005-07,0,0,0
2005-08,0,<1,0
2005-09,<1,0,0
2005-10,0,0,0
2005-11,0,<1,0
2005-12,0,0,<1
2006-01,0,0,0
2006-02,0,<1,0
2006-03,0,<1,0
2006-04,0,0,0
2006-05,0,0,0
2006-06,0,0,0
2006-07,0,<1,0
2006-08,0,0,0
2006-09,0,<1,0
2006-10,0,<1,0
2006-11,<1,0,0
2006-12,0,<1,0
2007-01,0,<1,0
2007-02,0,<1,0
2007-03,0,<1,0
2007-04,0,1,0
2007-05,0,<1,0
2007-06,0,0,0
2007-07,0,0,0
2007-08,0,<1,0
2007-09,<1,<1,0
2007-10,<1,<1,0
2007-11,0,0,0
2007-12,0,0,0
2008-01,0,<1,0
2008-02,<1,<1,0
2008-03,0,<1,0
2008-04,<1,<1,0
2008-05,<1,<1,0
2008-06,0,<1,0
2008-07,0,<1,0
2008-08,0,<1,0
2008-09,<1,<1,0
2008-10,0,<1,0
2008-11,0,<1,0
2008-12,0,<1,0
2009-01,0,<1,0
2009-02,0,<1,0
2009-03,0,<1,0
2009-04,0,<1,0
2009-05,0,<1,0
2009-06,0,<1,0
2009-07,0,<1,0
2009-08,<1,<1,0
2009-09,0,<1,<1
2009-10,0,<1,0
2009-11,<1,<1,0
2009-12,0,<1,<1
2010-01,0,<1,0
2010-02,0,<1,0
2010-03,<1,<1,0
2010-04,0,<1,0
2010-05,<1,<1,0
2010-06,<1,<1,0
2010-07,0,<1,0
2010-08,<1,0,0
2010-09,<1,0,0
2010-10,<1,<1,<1
2010-11,0,<1,<1
2010-12,<1,<1,0
2011-01,<1,<1,0
2011-02,0,<1,<1
2011-03,0,<1,0
2011-04,0,0,0
2011-05,<1,<1,0
2011-06,<1,<1,0
2011-07,0,<1,0
2011-08,<1,<1,0
2011-09,<1,<1,0
2011-10,0,<1,0
2011-11,0,<1,0
2011-12,<1,<1,0
2012-01,<1,<1,0
2012-02,<1,<1,<1
2012-03,<1,<1,<1
2012-04,<1,<1,<1
2012-05,0,<1,0
2012-06,<1,<1,0
2012-07,0,<1,0
2012-08,<1,<1,<1
2012-09,<1,<1,0
2012-10,0,<1,<1
2012-11,<1,<1,0
2012-12,<1,<1,0
2013-01,<1,<1,<1
2013-02,<1,<1,<1
2013-03,0,<1,0
2013-04,<1,<1,0
2013-05,<1,<1,0
2013-06,<1,<1,0
2013-07,<1,<1,0
2013-08,<1,<1,0
2013-09,<1,<1,0
2013-10,<1,<1,0
2013-11,<1,<1,<1
2013-12,0,<1,<1
2014-01,0,<1,0
2014-02,0,<1,0
2014-03,<1,<1,<1
2014-04,0,<1,0
2014-05,0,<1,0
2014-06,0,<1,<1
2014-07,<1,<1,<1
2014-08,0,<1,4
2014-09,0,<1,1
2014-10,<1,<1,1
2014-11,<1,<1,1
2014-12,<1,<1,<1
2015-01,<1,<1,<1
2015-02,<1,<1,<1
2015-03,0,<1,2
2015-04,<1,<1,2
2015-05,<1,<1,1
2015-06,<1,<1,1
2015-07,<1,1,1
2015-08,0,<1,1
2015-09,<1,<1,3
2015-10,<1,4,1
2015-11,<1,6,1
2015-12,<1,5,1
2016-01,0,6,1
2016-02,<1,5,1
2016-03,<1,5,1
2016-04,<1,7,1
2016-05,<1,10,1
2016-06,<1,8,1
2016-07,<1,6,1
2016-08,6,6,1
2016-09,3,6,2
2016-10,2,10,1
2016-11,5,16,1
2016-12,4,13,2
2017-01,4,14,2
2017-02,4,29,3
2017-03,3,28,2
2017-04,3,22,2
2017-05,5,31,1
2017-06,7,50,1
2017-07,13,80,4
2017-08,12,56,3
2017-09,13,40,2
2017-10,10,56,2
2017-11,8,66,4
2017-12,8,94,4
2018-01,8,88,5
2018-02,7,100,7
2018-03,8,75,7
2018-04,8,78,5
2018-05,7,74,5
2018-06,14,63,5
2018-07,14,67,5
2018-08,14,72,6
2018-09,11,71,4
2018-10,10,55,3
2018-11,9,65,3
2018-12,13,81,4
2019-01,11,62,5
2019-02,7,44,2
2019-03,7,62,2
2019-04,16,69,2
2019-05,10,58,3
2019-06,9,50,3
2019-07,9,69,2
2019-08,9,62,3
2019-09,8,50,2
2019-10,12,50,2
2019-11,9,49,2
2019-12,12,50,3
2020-01,12,44,4
2020-02,10,40,3
2020-03,8,39,2
2020-04,7,39,2
2020-05,10,45,2
2020-06,13,55,2
2020-07,14,49,3
2020-08,14,47,2
2020-09,12,42,2
2020-10,18,42,3
2020-11,13,51,2
2020-12,12,43,2
2021-01,12,38,2
2021-02,13,37,2
2021-03,11,37,2
2021-04,9,32,1
2021-05,9,38,2
2021-06,10,40,2
2021-07,10,44,1
