Category: All categories

Month,Blackpink: (South Korea),TWICE: (South Korea),Red Velvet: (South Korea)
2004-01,0,0,0
2004-02,0,0,0
2004-03,0,0,0
2004-04,0,0,0
2004-05,0,0,0
2004-06,0,7,0
2004-07,0,0,0
2004-08,0,0,0
2004-09,0,0,0
2004-10,0,0,0
2004-11,0,0,0
2004-12,0,0,0
2005-01,0,0,0
2005-02,0,0,0
2005-03,0,6,0
2005-04,0,0,0
2005-05,0,0,0
2005-06,0,0,0
2005-07,0,0,0
2005-08,0,0,0
2005-09,0,0,0
2005-10,0,0,0
2005-11,0,0,0
2005-12,0,0,0
2006-01,0,0,0
2006-02,0,0,0
2006-03,0,0,0
2006-04,0,0,0
2006-05,4,0,0
2006-06,0,0,0
2006-07,0,0,0
2006-08,0,0,0
2006-09,0,0,0
2006-10,0,0,0
2006-11,0,3,0
2006-12,0,0,0
2007-01,0,0,0
2007-02,0,0,0
2007-03,0,0,0
2007-04,0,2,0
2007-05,0,0,0
2007-06,0,0,0
2007-07,0,2,0
2007-08,0,0,0
2007-09,0,0,0
2007-10,0,0,0
2007-11,0,2,0
2007-12,0,0,0
2008-01,0,0,0
2008-02,0,0,0
2008-03,0,0,0
2008-04,0,0,0
2008-05,0,2,0
2008-06,0,0,0
2008-07,0,0,0
2008-08,0,0,0
2008-09,2,2,0
2008-10,0,0,0
2008-11,0,0,0
2008-12,0,0,0
2009-01,0,0,0
2009-02,0,2,0
2009-03,0,0,0
2009-04,0,0,0
2009-05,0,0,0
2009-06,0,0,0
2009-07,0,0,0
2009-08,0,2,0
2009-09,0,0,0
2009-10,0,0,2
2009-11,0,0,0
2009-12,0,2,0
2010-01,0,0,0
2010-02,0,0,0
2010-03,0,0,0
2010-04,0,0,0
2010-05,0,0,0
2010-06,0,0,0
2010-07,0,0,0
2010-08,0,1,0
2010-09,0,0,0
2010-10,0,0,0
2010-11,0,1,0
2010-12,0,0,0
2011-01,0,0,<1
2011-02,0,0,0
2011-03,1,1,0
2011-04,0,1,0
2011-05,0,0,0
2011-06,<1,0,0
2011-07,0,0,<1
2011-08,0,<1,0
2011-09,0,0,0
2011-10,0,0,0
2011-11,0,1,0
2011-12,0,1,0
2012-01,0,0,0
2012-02,0,<1,0
2012-03,0,<1,0
2012-04,0,1,0
2012-05,0,0,0
2012-06,0,<1,0
2012-07,0,<1,0
2012-08,<1,0,<1
2012-09,0,<1,0
2012-10,0,1,<1
2012-11,0,<1,0
2012-12,0,0,0
2013-01,0,<1,0
2013-02,0,<1,<1
2013-03,<1,0,0
2013-04,0,0,0
2013-05,0,<1,0
2013-06,0,<1,<1
2013-07,0,0,0
2013-08,<1,1,0
2013-09,0,<1,0
2013-10,0,1,0
2013-11,<1,0,0
2013-12,0,1,0
2014-01,<1,<1,0
2014-02,0,<1,0
2014-03,0,1,0
2014-04,0,<1,0
2014-05,0,<1,0
2014-06,0,<1,0
2014-07,0,<1,1
2014-08,0,0,11
2014-09,0,<1,2
2014-10,<1,1,7
2014-11,0,1,3
2014-12,0,<1,4
2015-01,0,<1,3
2015-02,0,1,2
2015-03,0,0,7
2015-04,0,1,6
2015-05,0,<1,5
2015-06,0,<1,4
2015-07,0,3,2
2015-08,0,1,3
2015-09,0,1,10
2015-10,0,19,5
2015-11,0,25,7
2015-12,0,26,5
2016-01,0,32,6
2016-02,0,29,4
2016-03,0,22,9
2016-04,<1,38,6
2016-05,0,66,5
2016-06,<1,63,3
2016-07,1,45,3
2016-08,24,44,4
2016-09,10,33,18
2016-10,8,60,6
2016-11,21,79,5
2016-12,21,96,15
2017-01,18,87,19
2017-02,13,100,30
2017-03,11,70,20
2017-04,8,56,14
2017-05,11,98,14
2017-06,16,81,10
2017-07,34,61,49
2017-08,35,43,32
2017-09,17,41,20
2017-10,14,49,19
2017-11,14,78,33
2017-12,15,83,33
2018-01,14,61,30
2018-02,12,56,42
2018-03,8,45,31
2018-04,7,62,29
2018-05,12,54,16
2018-06,40,44,17
2018-07,42,69,22
2018-08,28,58,48
2018-09,17,38,21
2018-10,17,39,17
2018-11,17,69,19
2018-12,20,67,20
2019-01,17,43,15
2019-02,10,31,5
2019-03,13,38,3
2019-04,35,49,10
2019-05,20,44,10
2019-06,19,38,19
2019-07,18,35,13
2019-08,12,41,15
2019-09,13,33,11
2019-10,13,36,10
2019-11,12,30,9
2019-12,12,36,17
2020-01,12,41,16
2020-02,12,28,12
2020-03,11,23,11
2020-04,9,22,12
2020-05,11,25,12
2020-06,24,41,12
2020-07,31,23,13
2020-08,27,25,10
2020-09,23,17,8
2020-10,47,27,14
2020-11,29,33,8
2020-12,22,19,7
2021-01,21,17,7
2021-02,22,18,8
2021-03,21,14,6
2021-04,17,12,5
2021-05,16,13,6
2021-06,16,22,7
2021-07,17,16,6
